source_word,target_word,source_pos,target_pos,morpheme,type,segments
pozorovat,pozorovaný,V,J,aný,suffix,"('po#', 'zor', '#ovat', '#aný')"
derivace,derivační,N,J,ní,suffix,"('derivace', '#ní')"
kybernetika,kybernetický,N,J,cký,suffix,"('kybernetik', '#a', '#cký')"
reformace,reformační,N,J,ní,suffix,"('reforma', '#ce', '#ní')"
zvolit,zvolení,V,N,ení,suffix,"('z#', 'volit', '#ení')"
znechutit,znechucení,V,N,ení,suffix,"('z#', 'ne#', 'chuť', '#ení')"
dráha,drážní,N,J,ní,suffix,"('dráha', '#ní')"
univerzita,univerzitní,N,J,ní,suffix,"('univerzita', '#ní')"
pokuta,pokutový,N,J,ový,suffix,"('pokuta', '#ový')"
plán,plánek,N,N,ek,suffix,"('plán', '#ek')"
ničit,poničit,V,V,po,prefix,"('po#', 'ničit')"
tančit,zatančit,V,V,za,prefix,"('za#', 'tančit')"
tančit,protančit,V,V,pro,prefix,"('pro#', 'tančit')"
obličej,obličejový,N,J,ový,suffix,"('obličej', '#ový')"
směr,směrovat,N,V,ovat,suffix,"('směr', '#ovat')"
řídit,pořídit,V,V,po,prefix,"('po#', 'řídit')"
řídit,uřídit,V,V,u,prefix,"('u#', 'řídit')"
řídit,zřídit,V,V,z,prefix,"('z#', 'řídit')"
řídit,řízení,V,N,ení,suffix,"('řídit', '#ení')"
řídit,řízený,V,J,ený,suffix,"('řídit', '#ený')"
budík,budíček,N,N,ek,suffix,"('budit', '#ík', '#ek')"
spojenec,spojenecký,N,J,cký,suffix,"('s#', 'pojit', '#ený', '#ec', '#cký')"
zkušenost,zkušenostní,N,J,ní,suffix,"('z#', 'kusit', '#ený', '#ost', '#ní')"
správný,správnost,J,N,ost,suffix,"('správa', '#ný', '#ost')"
scéna,scénka,N,N,ka,suffix,"('scéna', '#ka')"
mocnit,odmocnit,V,V,od,prefix,"('od#', 'moc', '#ný', '#it')"
mocnit,mocnění,V,N,ní,suffix,"('moc', '#ný', '#it', '#ní')"
odvodit,odvození,V,N,ení,suffix,"('od#', 'vodit', '#ení')"
odvodit,odvozený,V,J,ený,suffix,"('od#', 'vodit', '#ený')"
knihovna,knihovní,N,J,í,suffix,"('kniha', '#ovna', '#ní')"
přiřadit,přiřazení,V,N,ení,suffix,"('při#', 'řada', '#it', '#ení')"
bourat,nabourat,V,V,na,prefix,"('na#', 'bourat')"
bourat,probourat,V,V,pro,prefix,"('pro#', 'bourat')"
bourat,vybourat,V,V,vy,prefix,"('vy#', 'bourat')"
bourat,rozbourat,V,V,roz,prefix,"('roz#', 'bourat')"
bourat,vbourat,V,V,v,prefix,"('v#', 'bourat')"
bourat,bouračka,V,N,čka,suffix,"('bourat', '#čka')"
šikmý,šikmost,J,N,ost,suffix,"('šikmý', '#ost')"
šikmý,šikmina,J,N,ina,suffix,"('šikmý', '#ina')"
poctivý,poctivě,J,R,ě,suffix,"('poctivý', '#ě')"
tah,tahový,N,J,ový,suffix,"('tah', '#ový')"
šplhat,vyšplhat,V,V,vy,prefix,"('vy#', 'šplhat')"
šplhat,sešplhat,V,V,se,prefix,"('se#', 'šplhat')"
šplhat,šplhání,V,N,ání,suffix,"('šplhat', '#ání')"
dědic,dědický,N,J,cký,suffix,"('děd', '#a', '#ic', '#cký')"
knoflík,knoflíček,N,N,ek,suffix,"('knoflík', '#ek')"
větvit,rozvětvit,V,V,roz,prefix,"('roz#', 'větev', '#it')"
kaple,kaplan,N,N,an,suffix,"('kaple', '#an')"
nápad,nápaditý,N,J,itý,suffix,"('nápad', '#itý')"
přežít,přežití,V,N,í,suffix,"('pře#', 'žít', '#í')"
nízký,nížina,J,N,ina,suffix,"('níže', '#ský', '#ina')"
nízký,nízkost,J,N,ost,suffix,"('níže', '#ský', '#ost')"
hrst,hrstička,N,N,ička,suffix,"('hrst', '#ička')"
Inka,Inčin,N,J,in,suffix,"('Inka', '#in')"
kariéra,kariérista,N,N,ista,suffix,"('kariéra', '#ista')"
rovnováha,rovnovážný,N,J,ný,suffix,"('rovnováha', '#ný')"
něžný,něžnost,J,N,ost,suffix,"('něha', '#ný', '#ost')"
hráč,hráčský,N,J,ský,suffix,"('hrát', '#č', '#ský')"
sníh,snížek,N,N,ek,suffix,"('sníh', '#ek')"
ladit,vyladit,V,V,vy,prefix,"('vy#', 'lad', '#it')"
ladit,rozladit,V,V,roz,prefix,"('roz#', 'lad', '#it')"
ladit,podladit,V,V,pod,prefix,"('pod#', 'lad', '#it')"
ladit,ladění,V,N,ní,suffix,"('lad', '#it', '#ní')"
pokračovat,pokračování,V,N,ání,suffix,"('pokračovat', '#ání')"
koláč,koláček,N,N,ek,suffix,"('kolo', '#áč', '#ek')"
chlor,chlorečný,N,J,ečný,suffix,"('chlor', '#ečný')"
ctít,uctít,V,V,u,prefix,"('u#', 'ctít')"
zanedbatelný,zanedbatelnost,J,N,ost,suffix,"('za#', 'nedbat', '#telný', '#ost')"
zásada,zásadový,N,J,ový,suffix,"('zásada', '#ový')"
ledový,ledově,J,R,ě,suffix,"('led', '#ový', '#ě')"
kritizovat,zkritizovat,V,V,z,prefix,"('z#', 'kritizovat')"
vápenec,vápencový,N,J,ový,suffix,"('vápno', '#ec', '#ový')"
strategický,strategicky,J,R,y,suffix,"('strategie', '#cký', '#y')"
kazeta,kazetový,N,J,ový,suffix,"('kazeta', '#ový')"
kazeta,kazeťák,N,N,ák,suffix,"('kazeta', '#ák')"
pojistit,pojistka,V,N,ka,suffix,"('po#', 'jistý', '#it', '#ka')"
slunce,sluncový,N,J,ový,suffix,"('slunce', '#ový')"
pergamen,pergamenový,N,J,ový,suffix,"('pergamen', '#ový')"
učenec,učenecký,N,J,cký,suffix,"('učit', '#ený', '#ec', '#cký')"
vítat,přivítat,V,V,při,prefix,"('při#', 'vítat')"
vítat,uvítat,V,V,u,prefix,"('u#', 'vítat')"
vítat,vítání,V,N,ání,suffix,"('vítat', '#ání')"
sbírat,nasbírat,V,V,na,prefix,"('na#', 'sbírat')"
sbírat,sbírka,V,N,ka,suffix,"('sbírat', '#ka')"
sbírat,vysbírat,V,V,vy,prefix,"('vy#', 'sbírat')"
úkol,úkolář,N,N,ář,suffix,"('ú#', 'klát', '#ář')"
úkol,úkolový,N,J,ový,suffix,"('ú#', 'klát', '#ový')"
zklamat,zklamání,V,N,ání,suffix,"('z#', 'klamat', '#ání')"
zklamat,zklamaný,V,J,aný,suffix,"('z#', 'klamat', '#aný')"
větrat,vyvětrat,V,V,vy,prefix,"('vy#', 'větrat')"
větrat,provětrat,V,V,pro,prefix,"('pro#', 'větrat')"
odrážka,odrážkový,N,J,ový,suffix,"('odrážka', '#ový')"
expozice,expoziční,N,J,ní,suffix,"('expozice', '#ní')"
nasadit,nasazení,V,N,ení,suffix,"('na#', 'sadit', '#ení')"
spasit,spasitel,V,N,tel,suffix,"('spasit', '#el')"
těsný,těsnost,J,N,ost,suffix,"('těsný', '#ost')"
housle,houslař,N,N,ař,suffix,"('housle', '#ař')"
housle,houslový,N,J,ový,suffix,"('housle', '#ový')"
pronásledovat,pronásledování,V,N,ání,suffix,"('pro#', 'na#', 'sled', '#ovat', '#ání')"
řád,neřád,N,N,ne,prefix,"('ne#', 'řád')"
krém,krémovat,N,V,ovat,suffix,"('krém', '#ovat')"
krém,krémový,N,J,ový,suffix,"('krém', '#ový')"
uvolnit,uvolnění,V,N,ní,suffix,"('u#', 'volno', '#ý', '#ní')"
uvolnit,uvolněný,V,J,ěný,suffix,"('u#', 'volno', '#ý', '#ěný')"
spása,spásný,N,J,ný,suffix,"('spása', '#ný')"
džbán,džbánek,N,N,ek,suffix,"('džbán', '#ek')"
trapný,trapnost,J,N,ost,suffix,"('trápit', '#ný', '#ost')"
libovolný,libovolnost,J,N,ost,suffix,"('libovolný', '#ost')"
sedlo,sedlový,N,J,ový,suffix,"('sedlo', '#ový')"
mlčet,zamlčet,V,V,za,prefix,"('za#', 'mlčet')"
mlčet,mlčenlivý,V,J,livý,suffix,"('mlčet', '#livý')"
pověst,pověstný,N,J,ný,suffix,"('pověst', '#ný')"
kluk,klouček,N,N,ek,suffix,"('kluk', '#ek')"
kluk,klukovina,N,N,ovina,suffix,"('kluk', '#ov')"
kladka,kladkový,N,J,ový,suffix,"('kladka', '#ový')"
popírat,popíratelný,V,J,telný,suffix,"('popírat', '#telný')"
vyhubit,vyhubený,V,J,ený,suffix,"('vy#', 'hubit', '#ený')"
hák,hákovat,N,V,ovat,suffix,"('hák', '#ovat')"
maják,majáček,N,N,ek,suffix,"('maják', '#ek')"
maják,majákový,N,J,ový,suffix,"('maják', '#ový')"
středověk,středověký,N,J,ý,suffix,"('středověk', '#ý')"
mísit,vmísit,V,V,v,prefix,"('v#', 'mísa', '#it')"
krajní,krajnost,J,N,ost,suffix,"('kraj', '#ní', '#ost')"
tým,týmový,N,J,ový,suffix,"('tým', '#ový')"
rovník,rovníkový,N,J,ový,suffix,"('rovný', '#ík', '#ový')"
Miroslav,Miroslava,N,N,a,suffix,"('Miroslav', '#a')"
nastavit,nastavení,V,N,ení,suffix,"('na#', 'stavit', '#ení')"
nastavit,nastavený,V,J,ený,suffix,"('na#', 'stavit', '#ený')"
adoptovat,adoptovaný,V,J,aný,suffix,"('adoptovat', '#aný')"
nástupiště,nástupištní,N,J,ní,suffix,"('na#', 'stoupat', '#iště', '#ní')"
peřina,peřináč,N,N,áč,suffix,"('peří', '#ina', '#áč')"
peřina,peřinka,N,N,ka,suffix,"('peří', '#ina', '#ka')"
směna,směnný,N,J,ný,suffix,"('s#', 'měna', '#ný')"
stačit,vystačit,V,V,vy,prefix,"('vy#', 'stačit')"
všimnout,povšimnout,V,V,po,prefix,"('po#', 'všimnout')"
ekologie,ekologický,N,J,cký,suffix,"('ekologie', '#cký')"
obligace,obligační,N,J,ní,suffix,"('obligace', '#ní')"
objemný,objemnost,J,N,ost,suffix,"('objem', '#ný', '#ost')"
leucin,leucinový,N,J,ový,suffix,"('leucin', '#ový')"
katedra,katedrový,N,J,ový,suffix,"('katedra', '#ový')"
jeviště,jevištní,N,J,ní,suffix,"('jev', '#iště', '#ní')"
kvalifikovat,kvalifikace,V,N,ace,suffix,"('kvalifikovat', '#ace')"
kvalifikovat,kvalifikovaný,V,J,aný,suffix,"('kvalifikovat', '#aný')"
vážit,rozvážit,V,V,roz,prefix,"('roz#', 'vážit')"
vážit,navážit,V,V,na,prefix,"('na#', 'vážit')"
vážit,vážný,V,J,ný,suffix,"('váha', '#ný')"
plánovat,naplánovat,V,V,na,prefix,"('na#', 'plán', '#ovat')"
plánovat,rozplánovat,V,V,roz,prefix,"('roz#', 'plán', '#ovat')"
plánovat,plánovatel,V,N,tel,suffix,"('plán', '#ovat', '#tel')"
uložit,uložení,V,N,ení,suffix,"('u#', 'ložit', '#ení')"
uložit,uložený,V,J,ený,suffix,"('u#', 'ložit', '#ený')"
nedostatek,nedostatečný,N,J,ný,suffix,"('ne#', 'dostat', '#ek', '#ný')"
nedostatek,nedostatkový,N,J,ový,suffix,"('nedostatek', '#ový')"
doručit,doručitel,V,N,tel,suffix,"('doručit', '#tel')"
různý,různit,J,V,it,suffix,"('různý', '#it')"
dalekozraký,dalekozrakost,J,N,ost,suffix,"('dalekozraký', '#ost')"
zlepšit,zlepšený,V,J,ený,suffix,"('z#', 'lepší', '#ený')"
bojkot,bojkotovat,N,V,ovat,suffix,"('bojkot', '#ovat')"
lepit,rozlepit,V,V,roz,prefix,"('roz#', 'lep', '#it')"
lepit,podlepit,V,V,pod,prefix,"('pod#', 'lep', '#it')"
lepit,vylepit,V,V,vy,prefix,"('vy#', 'lep', '#it')"
lepit,vlepit,V,V,v,prefix,"('v#', 'lep', '#it')"
vylodit,vylodění,V,N,ní,suffix,"('vy#', 'loď', '#ení')"
dusit,podusit,V,V,po,prefix,"('po#', 'dusit')"
mnohostěn,mnohostěnný,N,J,ný,suffix,"('mnoho#', 'stěna', '#ný')"
svědět,svědění,V,N,ní,suffix,"('svědět', '#ní')"
potit,vypotit,V,V,vy,prefix,"('vy#', 'pot', '#it')"
potit,zapotit,V,V,za,prefix,"('za#', 'pot', '#it')"
přihlásit,přihlášení,V,N,ení,suffix,"('při#', 'hlásit', '#ení')"
kojit,nakojit,V,V,na,prefix,"('na#', 'kojit')"
osvítit,osvícení,V,N,ení,suffix,"('o#', 'svítit', '#ení')"
morální,morálnost,J,N,ost,suffix,"('morální', '#ost')"
parametr,parametrický,N,J,cký,suffix,"('parametr', '#cký')"
vystoupit,vystoupení,V,N,ení,suffix,"('vystoupit', '#ení')"
revoluce,revoluční,N,J,ní,suffix,"('revoluce', '#ní')"
přenos,přenosový,N,J,ový,suffix,"('přenos', '#ový')"
křičet,dokřičet,V,V,do,prefix,"('do#', 'křičet')"
křičet,překřičet,V,V,pře,prefix,"('pře#', 'křičet')"
křičet,zakřičet,V,V,za,prefix,"('za#', 'křičet')"
politolog,politoložka,N,N,ka,suffix,"('politik', '#a', '#log', '#ka')"
indián,indiánka,N,N,ka,suffix,"('indián', '#ka')"
indián,indiánský,N,J,ský,suffix,"('indián', '#ský')"
vládce,samovládce,N,N,samo,prefix,"('samo#', 'vláda', '#ce')"
podmínka,podmínečný,N,J,ný,suffix,"('podmínka', '#ný')"
násilný,násilnost,J,N,ost,suffix,"('na#', 'síla', '#ný', '#ost')"
jevit,vyjevit,V,V,vy,prefix,"('vy#', 'jev', '#it')"
jevit,projevit,V,V,pro,prefix,"('pro#', 'jev', '#it')"
rozšířit,rozšíření,V,N,ení,suffix,"('roz#', 'šíře', '#it', '#ení')"
stěžovat,postěžovat,V,V,po,prefix,"('po#', 'stěžovat')"
aklimatizovat,aklimatizovaný,V,J,aný,suffix,"('aklimatizovat', '#ný')"
poklad,pokladnice,N,N,nice,suffix,"('poklad', '#nice')"
shromáždit,shromáždění,V,N,ní,suffix,"('s#', 'hromáždit', '#ní')"
kloktat,kloktání,V,N,ání,suffix,"('kloktat', '#ání')"
kloktat,kloktadlo,V,N,dlo,suffix,"('kloktat', '#dlo')"
kloktat,kloktavý,V,J,avý,suffix,"('kloktat', '#avý')"
závod,závodník,N,N,ník,suffix,"('závod', '#ník')"
závod,závodní,N,J,ní,suffix,"('závod', '#ní')"
přehánět,přehánění,V,N,ní,suffix,"('přehánět', '#ní')"
hematit,hematitový,N,J,ový,suffix,"('hematit', '#ový')"
signál,signální,N,J,ní,suffix,"('signál', '#ní')"
katalog,katalogový,N,J,ový,suffix,"('katalog', '#ový')"
nechat,přenechat,V,V,pře,prefix,"('pře#', 'nechat')"
jaspis,jaspisový,N,J,ový,suffix,"('jaspis', '#ový')"
životný,životnost,J,N,ost,suffix,"('život', '#ní', '#ost')"
otočit,otočení,V,N,ení,suffix,"('o#', 'točit', '#ení')"
otočit,otočný,V,J,ný,suffix,"('o#', 'točit', '#ný')"
tucet,půltucet,N,N,půl,prefix,"('půl#', 'tucet')"
zuřit,vyzuřit,V,V,vy,prefix,"('vy#', 'zuřit')"
zuřit,zuřivý,V,J,ivý,suffix,"('zuřit', '#ivý')"
mimino,miminko,N,N,ko,suffix,"('mimino', '#ko')"
častý,často,J,R,o,suffix,"('čas', '#tý', '#o')"
pravidelný,pravidelnost,J,N,ost,suffix,"('pravidlo', '#ný', '#ost')"
plnit,přeplnit,V,V,pře,prefix,"('pře#', 'plný', '#it')"
plnit,plnění,V,N,ní,suffix,"('plný', '#it', '#ní')"
plnit,plněný,V,J,ěný,suffix,"('plný', '#it', '#ěný')"
koktat,zakoktat,V,V,za,prefix,"('za#', 'koktat')"
koktat,koktání,V,N,ání,suffix,"('koktat', '#ání')"
schůze,schůzka,N,N,ka,suffix,"('schůze', '#ka')"
schůze,schůzovat,N,V,ovat,suffix,"('schůze', '#ovat')"
vysoký,vysoko,J,R,o,suffix,"('vysoký', '#o')"
kominík,kominický,N,J,cký,suffix,"('kominík', '#cký')"
zasvětit,zasvěcení,V,N,ení,suffix,"('za#', 'světit', '#ení')"
zasvětit,zasvěcený,V,J,ený,suffix,"('za#', 'světit', '#ený')"
kapela,kapelník,N,N,ník,suffix,"('kapela', '#ník')"
laktace,laktační,N,J,ní,suffix,"('laktace', '#ní')"
obklopit,obklopený,V,J,ený,suffix,"('ob#', 'klopit', '#ený')"
zážitek,zážitkový,N,J,ový,suffix,"('zážitek', '#ový')"
vyprávět,odvyprávět,V,V,od,prefix,"('od#', 'vy#', 'pravit')"
vyprávět,převyprávět,V,V,pře,prefix,"('pře#', 'vy#', 'pravit')"
vyprávět,dovyprávět,V,V,do,prefix,"('do#', 'vy#', 'pravit')"
vyprávět,vyprávění,V,N,ní,suffix,"('vy#', 'pravit', '#ní')"
vyprávět,vyprávěcí,V,J,cí,suffix,"('vy#', 'pravit', '#cí')"
ohnisko,ohniskový,N,J,ový,suffix,"('oheň', '#isko', '#ový')"
pojit,zapojit,V,V,za,prefix,"('za#', 'pojit')"
pojit,rozpojit,V,V,roz,prefix,"('roz#', 'pojit')"
pojit,pojivo,V,N,ivo,suffix,"('pojit', '#ivo')"
trvalý,trvalka,J,N,ka,suffix,"('trvat', '#lý', '#ka')"
prodej,předprodej,N,N,před,prefix,"('před#', 'prodej')"
tvrdit,stvrdit,V,V,s,prefix,"('s#', 'tvrdý', '#it')"
tvrdit,utvrdit,V,V,u,prefix,"('u#', 'tvrdý', '#it')"
smát,zasmát,V,V,za,prefix,"('za#', 'smát')"
temný,temno,J,R,o,suffix,"('tma', '#ný', '#o')"
zločinec,zločinecký,N,J,cký,suffix,"('zločin', '#ec', '#cký')"
kvalifikace,kvalifikační,N,J,ní,suffix,"('kvalifikovat', '#ace', '#ní')"
záloha,zálohovat,N,V,ovat,suffix,"('záloha', '#ovat')"
korek,korkový,N,J,ový,suffix,"('korek', '#ový')"
těsto,těstíčko,N,N,íčko,suffix,"('těsto', '#íčko')"
pustina,pustinný,N,J,ný,suffix,"('pustý', '#ina', '#ný')"
návykový,návykovost,J,N,ost,suffix,"('návyk', '#ový', '#ost')"
anketa,anketní,N,J,ní,suffix,"('anketa', '#ní')"
voňavka,voňavkář,N,N,ář,suffix,"('vonět', '#avý', '#ka', '#ář')"
případ,případný,N,J,ný,suffix,"('případ', '#ný')"
případ,případový,N,J,ový,suffix,"('případ', '#ový')"
sloup,sloupový,N,J,ový,suffix,"('sloup', '#ový')"
bagr,bagrovat,N,V,ovat,suffix,"('bagr', '#ovat')"
kartáč,kartáčovat,N,V,ovat,suffix,"('kartáč', '#ovat')"
shrnout,shrnutí,V,N,í,suffix,"('s#', 'hrnout', '#í')"
třít,rozetřít,V,V,roze,prefix,"('roze#', 'třít')"
třít,tření,V,N,ení,suffix,"('třít', '#ení')"
třídit,setřídit,V,V,se,prefix,"('se#', 'třída', '#it')"
třídit,zatřídit,V,V,za,prefix,"('za#', 'třída', '#it')"
třídit,utřídit,V,V,u,prefix,"('u#', 'třída', '#it')"
třídit,dotřídit,V,V,do,prefix,"('do#', 'třída', '#it')"
třídit,třídění,V,N,ní,suffix,"('třída', '#it', '#ní')"
univerzální,univerzálnost,J,N,ost,suffix,"('univerzální', '#ost')"
servis,autoservis,N,N,auto,prefix,"('auto#', 'servis')"
servis,multiservis,J,J,multi,prefix,"('multi#', 'servis')"
servis,servisní,J,J,ní,suffix,"('servis', '#ní')"
prostor,prostorný,N,J,ný,suffix,"('prostor', '#ný')"
sklep,sklípek,N,N,ek,suffix,"('sklep', '#ek')"
rozmar,rozmarný,N,J,ný,suffix,"('rozmar', '#ný')"
zákazník,zákaznický,N,J,cký,suffix,"('zákaz', '#ník', '#ský')"
kongres,kongresový,N,J,ový,suffix,"('kongres', '#ový')"
živel,živelní,N,J,ní,suffix,"('žít', '#ivý', '#el', '#ní')"
živel,živelný,N,J,ný,suffix,"('žít', '#ivý', '#el', '#ný')"
souložit,zasouložit,V,V,za,prefix,"('za#', 'sou#', 'lože')"
zvednout,pozvednout,V,V,po,prefix,"('po#', 'vz#', 'vést', '#nout')"
zvednout,nadzvednout,V,V,nad,prefix,"('nad#', 'vz#', 'vést', '#nout')"
nutný,nutně,J,R,ě,suffix,"('nutit', '#ný', '#ě')"
proměnit,proměněný,V,J,ěný,suffix,"('pro#', 'měna', '#it', '#ěný')"
šířit,šíření,V,N,ení,suffix,"('šíře', '#it', '#ení')"
pochyba,pochybný,N,J,ný,suffix,"('po#', 'chyba', '#ný')"
řidič,řidičský,N,J,ský,suffix,"('řídit', '#č', '#ský')"
mračit,zamračit,V,V,za,prefix,"('za#', 'mrak', '#it')"
zvon,zvonec,N,N,ec,suffix,"('zvon', '#ec')"
zvon,zvonek,N,N,ek,suffix,"('zvon', '#ek')"
zvon,zvoník,N,N,ík,suffix,"('zvon', '#ík')"
zvon,zvonit,N,V,it,suffix,"('zvon', '#it')"
krut,skrut,N,N,s,prefix,"('s#', 'krut')"
krut,výkrut,N,N,vý,prefix,"('vý#', 'krut')"
požadovat,požadovaný,V,J,aný,suffix,"('požadovat', '#aný')"
vyprázdnit,vyprázdnění,V,N,ní,suffix,"('vy#', 'prázdný', '#ní')"
sít,zasít,N,N,za,prefix,"('za#', 'sít')"
lovit,nalovit,V,V,na,prefix,"('na#', 'lov', '#it')"
lovit,ulovit,V,V,u,prefix,"('u#', 'lov', '#it')"
doprovodit,doprovodný,V,J,ný,suffix,"('doprovod', '#ný')"
míč,míček,N,N,ek,suffix,"('míč', '#ek')"
slavit,oslavit,V,V,o,prefix,"('o#', 'slavit')"
skenovat,naskenovat,V,V,na,prefix,"('na#', 'sken', '#ovat')"
skenovat,oskenovat,V,V,o,prefix,"('o#', 'sken', '#ovat')"
učit,doučit,V,V,do,prefix,"('do#', 'učit')"
učit,neučit,V,V,ne,prefix,"('ne#', 'učit')"
učit,poučit,V,V,po,prefix,"('po#', 'učit')"
učit,učivo,V,N,ivo,suffix,"('učit', '#ivo')"
továrna,tovární,N,J,í,suffix,"('továrna', '#ní')"
báseň,básnička,N,N,ička,suffix,"('báseň', '#ička')"
branka,brankový,N,J,ový,suffix,"('brána', '#ka', '#ový')"
zpět,zpětný,R,J,ný,suffix,"('zpět', '#ný')"
princezna,princeznička,N,N,ička,suffix,"('princezna', '#ička')"
odmítnout,odmítnutí,V,N,í,suffix,"('od#', 'mést', '#nout', '#í')"
ospravedlnit,ospravedlnění,V,N,ní,suffix,"('o#', 's#', 'pravidlo', '#ení')"
Stela,Stelin,N,J,in,suffix,"('Stela', '#in')"
zhoršit,zhoršení,V,N,ení,suffix,"('z#', 'horší', '#ení')"
nemoc,nemocný,N,J,ný,suffix,"('ne#', 'moc', '#ný')"
topit,protopit,V,V,pro,prefix,"('pro#', 'topit')"
topit,přetopit,V,V,pře,prefix,"('pře#', 'topit')"
topit,roztopit,V,V,roz,prefix,"('roz#', 'topit')"
topit,vytopit,V,V,vy,prefix,"('vy#', 'topit')"
topit,zatopit,V,V,za,prefix,"('za#', 'topit')"
přirozený,přirozenost,J,N,ost,suffix,"('přirozeno', '#ý', '#ost')"
vyřezávat,vyřezávaný,V,J,aný,suffix,"('vyřezávat', '#aný')"
dutý,nadutý,J,J,na,prefix,"('na#', 'dutý')"
zacházet,zacházení,V,N,ení,suffix,"('zacházet', '#ení')"
mstít,pomstít,V,V,po,prefix,"('po#', 'mstít')"
mstít,vymstít,V,V,vy,prefix,"('vy#', 'mstít')"
národnost,národnostní,N,J,ní,suffix,"('na#', 'rod', '#ní', '#ost', '#ní')"
chránit,uchránit,V,V,u,prefix,"('u#', 'chránit')"
vyhledávat,vyhledávač,V,N,č,suffix,"('vy#', 'hledat', '#ávat', '#ač')"
mrholit,mrholení,V,N,ení,suffix,"('mrholit', '#ení')"
násobit,vynásobit,V,V,vy,prefix,"('vy#', 'násobit')"
násobit,pronásobit,V,V,pro,prefix,"('pro#', 'násobit')"
násobit,znásobit,V,V,z,prefix,"('z#', 'násobit')"
násobit,násobení,V,N,ení,suffix,"('násobit', '#ení')"
násobit,násobek,V,N,ek,suffix,"('násobit', '#ek')"
kýla,kýlavý,N,J,avý,suffix,"('kýla', '#avý')"
hnout,prohnout,V,V,pro,prefix,"('pro#', 'hnout')"
hnout,uhnout,V,V,u,prefix,"('u#', 'hnout')"
hnout,hnutí,V,N,í,suffix,"('hnout', '#í')"
nepřítel,nepřátelský,N,J,ský,suffix,"('ne#', 'přítel', '#ský')"
jemný,jemnost,J,N,ost,suffix,"('jemný', '#ost')"
magnetický,magneticky,J,R,y,suffix,"('magnet', '#cký', '#y')"
nesmrtelný,nesmrtelnost,J,N,ost,suffix,"('ne#', 'smrtelný', '#ost')"
potopit,potopený,V,J,ený,suffix,"('po#', 'topit', '#ený')"
okres,okresní,N,J,ní,suffix,"('okres', '#ní')"
požitek,požitkář,N,N,ář,suffix,"('požitek', '#ář')"
upozornit,upozornění,V,N,ní,suffix,"('upozornit', '#ní')"
jistit,jistič,V,N,č,suffix,"('jistý', '#it', '#č')"
křišťál,křišťálový,N,J,ový,suffix,"('křišťál', '#ový')"
výška,výškový,N,J,ový,suffix,"('výš', '#ka', '#ový')"
pověřit,pověření,V,N,ení,suffix,"('po#', 'věřit', '#ení')"
pěna,pěnový,N,J,ový,suffix,"('pěna', '#ový')"
kameník,kameníkův,N,J,ův,suffix,"('kámen', '#ník', '#ův')"
kryptografie,kryptografický,N,J,cký,suffix,"('kryptografie', '#cký')"
větev,větvička,N,N,ička,suffix,"('větev', '#ička')"
dosažitelný,dosažitelnost,J,N,ost,suffix,"('dosažitelný', '#ost')"
látka,látkový,N,J,ový,suffix,"('látka', '#ový')"
přebytek,přebytkový,N,J,ový,suffix,"('přebytek', '#ový')"
kótovat,kótovaný,V,J,aný,suffix,"('kótovat', '#aný')"
donutit,donucení,V,N,ení,suffix,"('do#', 'nutit', '#ení')"
šek,šekový,N,J,ový,suffix,"('šek', '#ový')"
stárnout,zestárnout,V,V,ze,prefix,"('ze#', 'starý', '#nout')"
stárnout,stárnutí,V,N,í,suffix,"('starý', '#nout', '#í')"
svaz,svazák,N,N,ák,suffix,"('svaz', '#ák')"
svaz,svazový,N,J,ový,suffix,"('svaz', '#ový')"
vklad,vkladový,N,J,ový,suffix,"('vklad', '#ový')"
přetížit,přetížení,V,N,ení,suffix,"('pře#', 'tížit', '#ení')"
přetížit,přetížený,V,J,ený,suffix,"('pře#', 'tížit', '#ený')"
pokrytec,pokrytectví,N,N,ctví,suffix,"('pokrytec', '#ství')"
kroutit,zkroutit,V,V,z,prefix,"('z#', 'kroutit')"
kroutit,kroucený,V,J,ený,suffix,"('kroutit', '#ený')"
odhalit,poodhalit,V,V,po,prefix,"('po#', 'od#', 'halit')"
odhalit,odhalení,V,N,ení,suffix,"('od#', 'halit', '#ení')"
oplodnit,oplodnění,V,N,ní,suffix,"('o#', 'plod', '#it', '#ný', '#ení')"
flambovat,flambování,V,N,ání,suffix,"('flambovat', '#ání')"
flambovat,flambovaný,V,J,aný,suffix,"('flambovat', '#aný')"
všestranný,všestrannost,J,N,ost,suffix,"('všestranný', '#ost')"
sdílet,sdílení,V,N,ení,suffix,"('s#', 'dělit', '#ení')"
sdílet,sdílený,V,J,ný,suffix,"('s#', 'dělit', '#ný')"
zmínit,zmínka,V,N,ka,suffix,"('z#', 'mínit', '#ka')"
zmínit,zmínění,V,N,ní,suffix,"('z#', 'mínit', '#ní')"
zmínit,zmíněný,V,J,ěný,suffix,"('z#', 'mínit', '#ěný')"
nedostatečný,nedostatečně,J,R,ě,suffix,"('ne#', 'dostat', '#ek', '#ný', '#ě')"
ekolog,ekoložka,N,N,ka,suffix,"('eko#', '-log', '#ka')"
umět,umění,V,N,ní,suffix,"('umět', '#ení')"
měnit,změnit,V,V,z,prefix,"('z#', 'měna', '#it')"
měnit,zaměnit,V,V,za,prefix,"('za#', 'měna', '#it')"
